23.185.0.2 	 N/A 	 None 	 tcp 	 80 		 06/10/2020 	 Shodan	Passive
23.185.0.2 	 N/A 	 None 	 tcp 	 443 		 06/10/2020 	 Shodan	Passive
205.142.150.243 	 205-142-150-243.northland.net 	 None 	 tcp 	 8443 		 06/10/2020 	 Shodan	Passive
205.142.150.243 	 205-142-150-243.northland.net 	 None 	 tcp 	 5222 		 06/10/2020 	 Shodan	Passive
205.142.150.243 	 205-142-150-243.northland.net 	 None 	 tcp 	 2222 		 06/10/2020 	 Shodan	Passive
205.142.150.243 	 205-142-150-243.northland.net 	 None 	 tcp 	 80 		 06/10/2020 	 Shodan	Passive
205.142.150.243 	 205-142-150-243.northland.net 	 None 	 tcp 	 5269 		 06/10/2020 	 Shodan	Passive
205.142.150.243 	 205-142-150-243.northland.net 	 None 	 tcp 	 22 		 06/10/2020 	 Shodan	Passive
205.142.150.243 	 205-142-150-243.northland.net 	 None 	 tcp 	 7001 		 06/10/2020 	 Shodan	Passive
205.142.150.243 	 205-142-150-243.northland.net 	 None 	 tcp 	 443 		 06/10/2020 	 Shodan	Passive
205.142.150.244 	 205-142-150-244.northland.net 	 None 	 tcp 	 80 		 06/10/2020 	 Shodan	Passive
205.142.150.244 	 205-142-150-244.northland.net 	 None 	 tcp 	 443 		 06/10/2020 	 Shodan	Passive
205.142.150.244 	 205-142-150-244.northland.net 	 None 	 tcp 	 22 		 06/10/2020 	 Shodan	Passive
205.142.150.245 	 205-142-150-245.northland.net 	 None 	 tcp 	 80 		 06/10/2020 	 Shodan	Passive
205.142.150.245 	 205-142-150-245.northland.net 	 None 	 tcp 	 443 		 06/10/2020 	 Shodan	Passive
205.142.150.245 	 205-142-150-245.northland.net 	 None 	 tcp 	 22 		 06/10/2020 	 Shodan	Passive
216.243.142.183 	 msp-iph243-3183.arcustech.com 	 None 	 tcp 	 22 		 06/10/2020 	 Shodan	Passive
192.0.78.12 	 N/A 	 None 	 tcp 	 80 		 06/10/2020 	 Shodan	Passive
192.0.78.12 	 N/A 	 None 	 tcp 	 443 		 06/10/2020 	 Shodan	Passive
40.76.202.31 	 N/A 	 None 	 tcp 	 443 		 06/10/2020 	 Shodan	Passive
40.76.68.112 	 N/A 	 None 	 tcp 	 8080 		 06/10/2020 	 Shodan	Passive
40.76.68.112 	 N/A 	 None 	 tcp 	 80 		 06/10/2020 	 Shodan	Passive
40.76.68.112 	 N/A 	 None 	 tcp 	 8443 		 06/10/2020 	 Shodan	Passive
40.76.68.112 	 N/A 	 None 	 tcp 	 443 		 06/10/2020 	 Shodan	Passive
52.96.79.114 	 N/A 	 None 	 tcp 	 993 		 06/10/2020 	 Shodan	Passive
52.96.79.114 	 N/A 	 None 	 tcp 	 995 		 06/10/2020 	 Shodan	Passive
52.96.79.114 	 N/A 	 None 	 tcp 	 587 		 06/10/2020 	 Shodan	Passive
52.96.79.114 	 N/A 	 None 	 tcp 	 110 		 06/10/2020 	 Shodan	Passive
52.96.79.114 	 N/A 	 None 	 tcp 	 143 		 06/10/2020 	 Shodan	Passive
52.96.79.114 	 N/A 	 None 	 tcp 	 80 		 06/10/2020 	 Shodan	Passive
52.96.79.114 	 N/A 	 None 	 tcp 	 25 		 06/10/2020 	 Shodan	Passive
52.96.79.114 	 N/A 	 None 	 tcp 	 443 		 06/10/2020 	 Shodan	Passive
52.96.79.194 	 N/A 	 None 	 tcp 	 993 		 06/10/2020 	 Shodan	Passive
52.96.79.194 	 N/A 	 None 	 tcp 	 995 		 06/10/2020 	 Shodan	Passive
52.96.79.194 	 N/A 	 None 	 tcp 	 587 		 06/10/2020 	 Shodan	Passive
52.96.79.194 	 N/A 	 None 	 tcp 	 110 		 06/10/2020 	 Shodan	Passive
52.96.79.194 	 N/A 	 None 	 tcp 	 80 		 06/10/2020 	 Shodan	Passive
52.96.79.194 	 N/A 	 None 	 tcp 	 25 		 06/10/2020 	 Shodan	Passive
52.96.79.194 	 N/A 	 None 	 tcp 	 443 		 06/10/2020 	 Shodan	Passive
52.96.79.34 	 N/A 	 None 	 tcp 	 993 		 06/10/2020 	 Shodan	Passive
52.96.79.34 	 N/A 	 None 	 tcp 	 995 		 06/10/2020 	 Shodan	Passive
52.96.79.34 	 N/A 	 None 	 tcp 	 110 		 06/10/2020 	 Shodan	Passive
52.96.79.34 	 N/A 	 None 	 tcp 	 143 		 06/10/2020 	 Shodan	Passive
52.96.79.34 	 N/A 	 None 	 tcp 	 80 		 06/10/2020 	 Shodan	Passive
52.96.79.34 	 N/A 	 None 	 tcp 	 25 		 06/10/2020 	 Shodan	Passive
52.96.79.34 	 N/A 	 None 	 tcp 	 443 		 06/10/2020 	 Shodan	Passive
52.96.79.98 	 N/A 	 None 	 tcp 	 993 		 06/10/2020 	 Shodan	Passive
